arquivo filtro
OAJ_JPAS.gSDSS.dat gSDSS
OAJ_JPAS.iSDSS.dat iSDSS
OAJ_JPAS.J0378.dat J0378
OAJ_JPAS.J0390.dat J0390
OAJ_JPAS.J0400.dat J0400
OAJ_JPAS.J0410.dat J0410
OAJ_JPAS.J0420.dat J0420
OAJ_JPAS.J0430.dat J0430
OAJ_JPAS.J0440.dat J0440
OAJ_JPAS.J0450.dat J0450
OAJ_JPAS.J0460.dat J0460
OAJ_JPAS.J0470.dat J0470
OAJ_JPAS.J0480.dat J0480
OAJ_JPAS.J0490.dat J0490
OAJ_JPAS.J0500.dat J0500
OAJ_JPAS.J0510.dat J0510
OAJ_JPAS.J0520.dat J0520
OAJ_JPAS.J0530.dat J0530
OAJ_JPAS.J0540.dat J0540
OAJ_JPAS.J0550.dat J0550
OAJ_JPAS.J0560.dat J0560
OAJ_JPAS.J0570.dat J0570
OAJ_JPAS.J0580.dat J0580
OAJ_JPAS.J0590.dat J0590
OAJ_JPAS.J0600.dat J0600
OAJ_JPAS.J0610.dat J0610
OAJ_JPAS.J0620.dat J0620
OAJ_JPAS.J0630.dat J0630
OAJ_JPAS.J0640.dat J0640
OAJ_JPAS.J0650.dat J0650
OAJ_JPAS.J0660.dat J0660
OAJ_JPAS.J0670.dat J0670
OAJ_JPAS.J0680.dat J0680
OAJ_JPAS.J0690.dat J0690
OAJ_JPAS.J0700.dat J0700
OAJ_JPAS.J0710.dat J0710
OAJ_JPAS.J0720.dat J0720
OAJ_JPAS.J0730.dat J0730
OAJ_JPAS.J0740.dat J0740
OAJ_JPAS.J0750.dat J0750
OAJ_JPAS.J0760.dat J0760
OAJ_JPAS.J0770.dat J0770
OAJ_JPAS.J0780.dat J0780
OAJ_JPAS.J0790.dat J0790
OAJ_JPAS.J0800.dat J0800
OAJ_JPAS.J0810.dat J0810
OAJ_JPAS.J0820.dat J0820
OAJ_JPAS.J0830.dat J0830
OAJ_JPAS.J0840.dat J0840
OAJ_JPAS.J0850.dat J0850
OAJ_JPAS.J0860.dat J0860
OAJ_JPAS.J0870.dat J0870
OAJ_JPAS.J0880.dat J0880
OAJ_JPAS.J0890.dat J0890
OAJ_JPAS.J0900.dat J0900
OAJ_JPAS.J0910.dat J0910
OAJ_JPAS.J1007.dat J1007
OAJ_JPAS.rSDSS.dat rSDSS
OAJ_JPAS.u.dat u
OAJ_JPAS.uJava.dat uJava

